brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
audi, A8,2012,Automatic,70894,Diesel,235.0,44.1,3.0,13437
bmw, M4,2018,Semi-Auto,10809,Petrol,150.0,34.0,3.0,39999
ford, Grand Tourneo Connect,2016,Automatic,29000,Diesel,125.0,56.6,1.5,13000
ford, Edge,2017,Manual,19076,Diesel,165.0,48.7,2.0,19700
merc, GL Class,2015,Automatic,64539,Diesel,20.0,67.3,2.1,13999
bmw, X4,2019,Semi-Auto,4832,Diesel,145.0,42.8,2.0,35694
merc, CLA Class,2017,Automatic,8423,Diesel,150.0,67.3,2.1,18790
hyundi, Getz,2003,Automatic,51000,Petrol,260.0,37.2,1.6,1990
audi, A8,2020,Automatic,3452,Diesel,145.0,39.2,3.0,49800
toyota, Prius,2017,Automatic,56178,Hybrid,140.0,94.1,1.8,16500
ford, Grand C-MAX,2015,Manual,25969,Diesel,30.0,64.2,1.5,9998
vw, Scirocco,2016,Manual,19320,Petrol,305.0,34.9,2.0,18999
hyundi, IX20,2017,Manual,20967,Petrol,145.0,50.4,1.4,8340
skoda, Yeti,2014,Manual,57801,Diesel,30.0,61.4,1.6,6700
ford, Edge,2018,Manual,26531,Diesel,145.0,47.9,2.0,21200
vw, Scirocco,2017,Manual,20648,Diesel,20.0,55.4,2.0,15598
ford, Grand C-MAX,2017,Manual,17121,Diesel,30.0,64.2,1.5,10500
toyota, Avensis,2016,Manual,29210,Petrol,145.0,47.1,1.8,11495
toyota, Supra,2019,Semi-Auto,3000,Petrol,145.0,34.5,3.0,49990
bmw, i3,2015,Automatic,29465,Electric,0.0,470.8,1.0,17400
ford, Mustang,2020,Automatic,3500,Petrol,145.0,30.7,2.3,38489
ford, KA,2014,Manual,17000,Petrol,30.0,57.7,1.2,4999
vw, Scirocco,2017,Manual,25150,Diesel,145.0,64.2,2.0,17999
skoda, Scala,2019,Manual,2688,Petrol,150.0,49.6,1.0,14995
hyundi, I40,2015,Manual,62106,Diesel,125.0,60.1,1.7,8750
vw, Scirocco,2013,Manual,67547,Petrol,160.0,44.1,1.4,7599
skoda, Scala,2019,Automatic,499,Diesel,145.0,54.3,1.6,16995
merc, M Class,2012,Automatic,61898,Diesel,300.0,39.2,3.0,14400
merc, CLS Class,2017,Semi-Auto,45870,Diesel,125.0,57.7,2.1,20480
ford, Grand Tourneo Connect,2019,Manual,542,Diesel,145.0,61.4,1.5,18500
merc, V Class,2018,Manual,21749,Diesel,145.0,46.3,2.1,18000
bmw, Z4,2020,Semi-Auto,4646,Petrol,145.0,38.7,2.0,29990
vw, Scirocco,2017,Semi-Auto,50405,Diesel,30.0,57.6,2.0,13791
bmw, X6,2016,Semi-Auto,26615,Diesel,200.0,44.8,3.0,32800
merc, S Class,2019,Automatic,3671,Petrol,145.0,31.7,4.0,104590
merc, S Class,2017,Automatic,26000,Diesel,150.0,50.4,3.0,28999
merc, CLA Class,2017,Automatic,7392,Petrol,150.0,53.3,1.6,17000
vw, Scirocco,2017,Automatic,18682,Diesel,145.0,57.6,2.0,15117
vw, Beetle,2014,Manual,36262,Petrol,150.0,47.9,1.2,9965
hyundi, I800,2019,Automatic,12450,Diesel,145.0,28.0,2.5,19965
vauxhall, Zafira Tourer,2014,Manual,45000,Diesel,145.0,55.4,2.0,7699
merc, X-CLASS,2019,Automatic,3789,Diesel,260.0,31.4,3.0,47400
audi, S3,2014,Semi-Auto,63000,Petrol,200.0,40.9,2.0,17500
hyundi, Santa Fe,2016,Manual,44905,Diesel,200.0,47.1,2.2,16498
toyota, Land Cruiser,2020,Automatic,4000,Diesel,150.0,30.1,2.8,54550
skoda, Scala,2019,Manual,2000,Diesel,145.0,57.7,1.6,17995
ford, Edge,2018,Automatic,13712,Diesel,145.0,47.9,2.0,23740
bmw, X6,2015,Semi-Auto,26100,Diesel,205.0,45.6,3.0,25000
vauxhall, GTC,2018,Manual,8193,Petrol,145.0,47.1,1.4,13496
merc, V Class,2019,Automatic,1250,Diesel,145.0,44.8,2.2,39500
vw, Tiguan Allspace,2019,Automatic,4647,Petrol,145.0,30.7,2.0,31113
audi, RS3,2019,Automatic,6005,Petrol,145.0,30.1,2.5,40399
vw, Jetta,2015,Manual,84700,Diesel,20.0,67.3,2.0,8495
vw, Scirocco,2014,Manual,54239,Diesel,30.0,62.8,2.0,10500
vw, Amarok,2019,Automatic,10000,Diesel,260.0,33.6,3.0,35995
merc, V Class,2017,Automatic,8141,Diesel,145.0,45.6,2.2,32980
skoda, Scala,2020,Semi-Auto,1700,Petrol,145.0,47.1,1.0,16995
vw, Arteon,2020,Semi-Auto,3000,Petrol,145.0,35.8,2.0,32495
merc, S Class,2019,Semi-Auto,1766,Diesel,145.0,48.7,3.0,63099
skoda, Yeti,2016,Semi-Auto,26254,Petrol,125.0,51.4,1.2,11490
vw, Caddy Maxi Life,2018,Manual,6200,Diesel,145.0,57.7,2.0,18990
hyundi, IX20,2017,Automatic,31100,Petrol,160.0,43.5,1.6,8495
vw, Amarok,2019,Automatic,8500,Diesel,260.0,28.3,3.0,30000
vauxhall, Combo Life,2018,Manual,6900,Diesel,145.0,53.3,1.5,15995
vauxhall, Zafira Tourer,2016,Manual,22983,Petrol,200.0,42.2,1.4,9950
vauxhall, Zafira Tourer,2015,Manual,50000,Petrol,205.0,42.2,1.4,8500
bmw, 6 Series,2017,Automatic,35357,Diesel,205.0,49.6,3.0,22475
ford, Edge,2019,Semi-Auto,7015,Diesel,145.0,37.2,2.0,32490
bmw, M4,2020,Semi-Auto,1500,Petrol,145.0,34.0,3.0,45995
hyundi, Santa Fe,2017,Semi-Auto,39990,Diesel,235.0,42.8,2.2,17599
hyundi, I800,2016,Manual,30283,Diesel,300.0,37.7,2.5,13990
audi, S4,2019,Automatic,1481,Diesel,145.0,39.2,3.0,42888
skoda, Kamiq,2020,Manual,1169,Petrol,145.0,46.3,1.5,20999
vw, Caddy Life,2017,Semi-Auto,20123,Diesel,145.0,55.4,2.0,15998
ford, KA,2014,Manual,54096,Petrol,30.0,57.7,1.2,4290
vw, Arteon,2019,Semi-Auto,9988,Petrol,145.0,32.8,2.0,27995
ford, Edge,2016,Automatic,36142,Diesel,165.0,48.7,2.0,19199
merc, GL Class,2016,Automatic,36000,Diesel,235.0,42.8,3.0,27990
audi, RS6,2017,Automatic,39300,Petrol,145.0,29.4,4.0,54990
toyota, Verso,2017,Semi-Auto,19687,Petrol,165.0,43.5,1.8,16299
vauxhall, Combo Life,2018,Manual,11935,Diesel,145.0,53.3,1.5,15690
merc, GL Class,2017,Automatic,19000,Diesel,145.0,56.5,2.1,18990
vw, CC,2014,Manual,11980,Diesel,125.0,58.9,2.0,12400
merc, S Class,2015,Semi-Auto,30554,Diesel,200.0,48.7,3.0,27998
merc, SLK,2008,Automatic,60000,Petrol,280.0,34.4,1.8,5980
skoda, Rapid,2017,Manual,50000,Diesel,145.0,74.3,1.6,8495
audi, RS6,2016,Automatic,51600,Petrol,325.0,29.4,4.0,48990
audi, RS6,2017,Semi-Auto,39300,Petrol,145.0,29.4,4.0,54490
vw, Caravelle,2012,Semi-Auto,212000,Diesel,325.0,34.4,2.0,11995
vw, Caravelle,2019,Semi-Auto,8198,Diesel,145.0,33.6,2.0,41990
ford, KA,2015,Manual,41800,Petrol,30.0,57.7,1.2,4995
vw, CC,2013,Manual,79303,Diesel,30.0,60.1,2.0,7970
vw, Tiguan Allspace,2019,Semi-Auto,5407,Diesel,145.0,39.2,2.0,27599
ford, Grand C-MAX,2017,Manual,31125,Diesel,145.0,64.2,1.5,10600
vauxhall, Vivaro,2018,Manual,22036,Diesel,145.0,40.9,1.6,19500
audi, A7,2019,Automatic,6785,Diesel,145.0,35.8,3.0,46480
hyundi, IX35,2012,Manual,119050,Diesel,150.0,48.7,1.7,5000
ford, KA,2019,Manual,6596,Petrol,145.0,47.9,1.2,10000
audi, RS5,2015,Automatic,66000,Petrol,555.0,26.9,4.2,25950
audi, A7,2020,Automatic,1200,Diesel,150.0,38.2,3.0,45000
bmw, M5,2018,Semi-Auto,10455,Petrol,150.0,26.9,4.4,59973
bmw, 6 Series,2015,Semi-Auto,46659,Diesel,160.0,49.6,3.0,20490
vw, Caravelle,2019,Automatic,8521,Diesel,145.0,32.8,2.0,43499
vw, Beetle,2016,Semi-Auto,13771,Petrol,125.0,53.3,1.2,12995
vauxhall, Vivaro,2015,Manual,40868,Diesel,235.0,42.8,1.6,13995
vw, Shuttle,2017,Manual,39013,Diesel,200.0,47.1,2.0,19498
ford, KA,2008,Manual,77000,Petrol,195.0,43.5,1.3,850
toyota, GT86,2019,Manual,8912,Petrol,145.0,33.2,2.0,25995
ford, KA,2013,Manual,69000,Petrol,30.0,57.7,1.2,2975
bmw, X6,2019,Semi-Auto,1000,Diesel,145.0,34.9,3.0,61854
merc, CLS Class,2019,Automatic,2817,Diesel,145.0,47.9,2.9,45636
ford, Puma,2020,Manual,1879,Petrol,145.0,50.4,1.0,21999
audi, RS5,2018,Automatic,13121,Petrol,145.0,32.5,2.9,42000
merc, GL Class,2016,Manual,34132,Petrol,145.0,48.7,1.6,16299
vauxhall, Combo Life,2019,Manual,839,Diesel,145.0,53.3,1.5,17299
bmw, M4,2020,Semi-Auto,30,Petrol,145.0,34.0,3.0,48000
ford, Tourneo Custom,2019,Manual,10012,Diesel,150.0,35.3,2.0,24000
vw, Scirocco,2017,Manual,34217,Diesel,145.0,53.3,2.0,14728
merc, V Class,2019,Automatic,100,Diesel,145.0,36.7,2.0,46895
toyota, Verso,2017,Semi-Auto,25050,Petrol,200.0,42.8,1.8,12990
merc, SLK,2013,Automatic,43150,Petrol,200.0,43.5,1.8,12995
vw, Amarok,2019,Automatic,5000,Diesel,260.0,33.6,3.0,32290
audi, Q8,2019,Automatic,8787,Diesel,145.0,32.8,3.0,56996
vw, Beetle,2014,Manual,40830,Petrol,235.0,38.7,2.0,10700
bmw, 7 Series,2019,Semi-Auto,2218,Petrol,145.0,33.6,3.0,50390
ford, Puma,2002,Manual,108000,Petrol,230.0,38.2,1.7,2195
hyundi, Santa Fe,2017,Semi-Auto,41429,Diesel,145.0,42.8,2.2,18894
merc, CLS Class,2013,Automatic,65000,Diesel,150.0,54.3,2.1,12000
vauxhall, Combo Life,2018,Manual,4541,Diesel,145.0,53.3,1.5,13990
toyota, Avensis,2017,Manual,22640,Diesel,20.0,67.3,1.6,11645
ford, Tourneo Connect,2017,Manual,5094,Diesel,145.0,64.2,1.5,12998
ford, KA,2012,Manual,86667,Petrol,30.0,57.7,1.2,3491
toyota, Avensis,2015,Manual,42238,Diesel,30.0,62.8,2.0,9065
merc, GL Class,2016,Automatic,16000,Diesel,300.0,36.2,3.0,36500
toyota, Prius,2019,Automatic,464,Hybrid,135.0,61.4,1.8,23498
hyundi, Santa Fe,2019,Semi-Auto,130,Diesel,145.0,42.8,2.2,31995
vw, Arteon,2019,Manual,11334,Diesel,145.0,65.7,2.0,23650
bmw, X4,2019,Semi-Auto,8310,Diesel,145.0,42.8,2.0,36390
hyundi, Santa Fe,2002,Manual,94000,Petrol,325.0,30.4,2.4,1200
ford, Galaxy,2017,Manual,36947,Diesel,125.0,56.5,2.0,18979
merc, CLA Class,2014,Automatic,45000,Diesel,30.0,62.8,2.1,15990
audi, RS3,2015,Semi-Auto,60457,Petrol,300.0,34.9,2.5,26995
ford, Mustang,2016,Semi-Auto,42086,Petrol,570.0,23.5,5.0,24999
skoda, Scala,2020,Manual,747,Petrol,145.0,50.4,1.0,14985
vw, Scirocco,2017,Manual,18688,Petrol,150.0,52.3,1.4,13990
bmw, X4,2019,Automatic,9210,Diesel,145.0,42.8,2.0,39990
vauxhall, Combo Life,2019,Manual,2072,Petrol,145.0,42.2,1.2,14591
bmw, M4,2017,Semi-Auto,20750,Petrol,300.0,34.0,3.0,34950
bmw, X6,2019,Automatic,4509,Diesel,145.0,34.9,3.0,59991
ford, Tourneo Custom,2017,Manual,15000,Diesel,145.0,46.3,2.0,19990
vw, Jetta,2011,Manual,60200,Diesel,125.0,58.9,2.0,5995
vw, Caddy,2015,Manual,45500,Diesel,160.0,49.6,2.0,13590
vw, Arteon,2019,Automatic,6000,Diesel,145.0,60.1,2.0,27990
vw, Beetle,2014,Manual,37864,Petrol,145.0,47.9,1.2,8311
merc, SLK,2002,Automatic,61400,Petrol,325.0,30.0,2.3,3990
ford, KA,2015,Manual,38622,Petrol,30.0,57.7,1.2,4500
ford, Puma,2019,Manual,207,Petrol,145.0,50.4,1.0,20800
merc, V Class,2019,Semi-Auto,14086,Diesel,145.0,45.6,2.2,38995
ford, KA,2009,Manual,85000,Petrol,30.0,55.4,1.2,1954
merc, GL Class,2018,Automatic,14505,Petrol,145.0,50.4,1.6,20699
hyundi, IX20,2016,Manual,21152,Diesel,30.0,64.2,1.6,9000
bmw, M3,2017,Semi-Auto,21431,Petrol,150.0,34.0,3.0,37970
ford, KA,2013,Manual,51000,Petrol,30.0,57.7,1.2,4490
hyundi, Santa Fe,2014,Manual,55000,Diesel,200.0,46.3,2.2,14500
ford, Tourneo Connect,2015,Manual,47904,Diesel,125.0,56.5,1.6,9295
ford, Edge,2017,Semi-Auto,34270,Diesel,145.0,47.9,2.0,20495
skoda, Rapid,2015,Manual,37500,Diesel,30.0,64.2,1.6,8490
bmw, M4,2015,Semi-Auto,37724,Petrol,325.0,32.5,3.0,29490
hyundi, Santa Fe,2019,Automatic,10903,Diesel,145.0,39.2,2.2,32450
skoda, Rapid,2018,Manual,11154,Petrol,145.0,61.4,1.0,9791
vw, Caddy Maxi Life,2019,Semi-Auto,9277,Diesel,145.0,54.3,2.0,18795
toyota, GT86,2020,Manual,516,Petrol,150.0,33.2,2.0,27998
merc, CLS Class,2018,Automatic,8376,Petrol,145.0,36.2,3.0,41495
ford, KA,2016,Manual,27703,Petrol,30.0,57.7,1.2,5999
hyundi, IX35,2014,Manual,22632,Diesel,145.0,53.3,1.7,8990
skoda, Rapid,2016,Manual,45895,Petrol,30.0,57.7,1.2,7795
merc, CLA Class,2016,Automatic,30500,Petrol,205.0,40.9,2.0,28944
vw, Jetta,2008,Manual,111000,Diesel,155.0,48.7,2.0,2295
ford, Grand C-MAX,2017,Manual,48934,Petrol,150.0,54.3,1.0,10998
ford, Grand C-MAX,2017,Manual,8764,Diesel,30.0,64.2,1.5,12850
ford, Edge,2019,Automatic,3000,Diesel,145.0,40.4,2.0,23995
toyota, PROACE VERSO,2019,Automatic,5633,Diesel,145.0,38.7,2.0,27990
hyundi, I800,2018,Automatic,32383,Diesel,145.0,28.0,2.5,15995
hyundi, I40,2016,Manual,40741,Diesel,30.0,65.7,1.7,9798
ford, Grand C-MAX,2017,Manual,53296,Diesel,30.0,64.2,1.5,7994
bmw, i8,2015,Automatic,43323,Hybrid,0.0,134.5,1.5,44990
merc, GLS Class,2016,Semi-Auto,33000,Diesel,300.0,37.2,3.0,36495
vw, Arteon,2019,Semi-Auto,7000,Petrol,145.0,47.1,2.0,28995
bmw, 7 Series,2017,Semi-Auto,7500,Petrol,150.0,35.3,4.4,38950
vw, Tiguan Allspace,2018,Semi-Auto,8019,Diesel,145.0,47.9,2.0,25499
ford, Edge,2016,Semi-Auto,28860,Diesel,200.0,47.9,2.0,20595
bmw, Z4,2020,Semi-Auto,10,Petrol,145.0,38.7,2.0,33490
vauxhall, Combo Life,2019,Manual,6526,Petrol,145.0,42.2,1.2,13887
vw, Scirocco,2011,Manual,80000,Diesel,30.0,62.8,2.0,6975
vw, Arteon,2018,Automatic,20159,Petrol,145.0,47.1,2.0,20990
ford, Tourneo Custom,2018,Manual,6959,Diesel,145.0,46.3,2.0,21980
vw, Scirocco,2017,Manual,37835,Diesel,30.0,53.3,2.0,15601
merc, S Class,2019,Semi-Auto,9955,Diesel,145.0,52.3,3.0,48896
merc, CLA Class,2017,Manual,31555,Diesel,20.0,67.3,2.1,17999
toyota, Prius,2017,Automatic,23056,Hybrid,0.0,94.1,1.8,17995
vw, Amarok,2017,Automatic,51214,Diesel,260.0,36.2,3.0,23990
audi, A8,2015,Semi-Auto,52891,Diesel,205.0,47.9,3.0,19999
merc, S Class,2019,Semi-Auto,8365,Diesel,145.0,52.3,3.0,48499
skoda, Kamiq,2019,Manual,3100,Petrol,145.0,47.9,1.0,17990
vw, Shuttle,2019,Semi-Auto,14028,Diesel,145.0,32.8,2.0,28995
bmw, Z4,2014,Manual,22080,Petrol,205.0,41.5,2.0,13498
skoda, Scala,2019,Semi-Auto,5900,Diesel,145.0,54.3,1.6,21501
merc, V Class,2019,Automatic,9000,Diesel,145.0,38.7,2.0,29990
hyundi, IX35,2015,Manual,64925,Diesel,165.0,51.4,2.0,8298
hyundi, Santa Fe,2016,Automatic,29448,Diesel,260.0,41.5,2.2,16499
merc, S Class,2019,Semi-Auto,369,Diesel,145.0,52.3,3.0,54999
vauxhall, Agila,2009,Manual,62000,Petrol,125.0,51.4,1.2,2995
bmw, X6,2018,Semi-Auto,7427,Diesel,145.0,40.9,3.0,39990
ford, Puma,2019,Manual,3000,Petrol,145.0,50.4,1.0,25820
hyundi, I800,2018,Manual,32235,Diesel,145.0,28.0,2.5,15998
audi, A7,2019,Automatic,1932,Diesel,145.0,35.8,3.0,53750
ford, Edge,2016,Automatic,52000,Diesel,200.0,47.9,2.0,20799
hyundi, IX20,2017,Automatic,19825,Petrol,160.0,43.5,1.6,10290
bmw, Z4,2020,Semi-Auto,10,Petrol,150.0,38.7,2.0,31895
skoda, Kamiq,2019,Manual,4500,Diesel,145.0,56.5,1.6,15795
ford, Grand C-MAX,2017,Manual,7219,Diesel,30.0,64.2,1.5,14498
vw, Arteon,2019,Automatic,4867,Petrol,145.0,32.8,2.0,26880
hyundi, IX20,2016,Manual,17611,Petrol,125.0,50.4,1.4,8590
skoda, Yeti,2016,Manual,13757,Petrol,125.0,51.4,1.2,11355
hyundi, IX20,2018,Automatic,17167,Petrol,145.0,43.5,1.6,10990
bmw, M4,2019,Semi-Auto,5239,Petrol,145.0,34.0,3.0,46995
skoda, Scala,2020,Manual,2217,Petrol,145.0,49.6,1.0,16750
ford, Grand C-MAX,2017,Manual,20064,Petrol,30.0,54.3,1.0,11700
hyundi, I800,2018,Automatic,33587,Diesel,145.0,28.0,2.5,16990
merc, S Class,2019,Semi-Auto,375,Diesel,145.0,52.3,3.0,48998
vw, Tiguan Allspace,2018,Semi-Auto,28977,Diesel,145.0,47.9,2.0,21900
merc, M Class,2015,Semi-Auto,33059,Diesel,300.0,39.2,3.0,24480
hyundi, I40,2015,Manual,22000,Diesel,20.0,67.3,1.7,8495
bmw, X6,2013,Automatic,44176,Diesel,300.0,37.7,3.0,17999
ford, Tourneo Connect,2019,Manual,1390,Diesel,145.0,61.4,1.5,20000
merc, CLS Class,2012,Automatic,66880,Diesel,200.0,46.3,3.0,12490
toyota, Prius,2015,Automatic,25360,Hybrid,10.0,64.2,1.8,23995
vw, Eos,2011,Manual,43000,Petrol,185.0,41.5,1.4,7195
ford, Tourneo Custom,2019,Manual,21529,Diesel,145.0,32.5,2.0,18990
skoda, Kamiq,2020,Semi-Auto,1000,Petrol,145.0,43.5,1.5,23750
vw, Caddy,2012,Manual,26142,Diesel,200.0,48.7,1.6,9995
vauxhall, GTC,2015,Manual,63605,Diesel,30.0,65.7,1.6,6995
bmw, 8 Series,2019,Semi-Auto,1135,Diesel,145.0,40.4,3.0,58940
ford, KA,2008,Manual,77000,Petrol,200.0,43.5,1.3,1550
toyota, PROACE VERSO,2019,Manual,588,Diesel,145.0,40.4,2.0,24498
vw, Scirocco,2015,Manual,46027,Diesel,20.0,55.4,2.0,11498
vw, Beetle,2015,Manual,35212,Diesel,30.0,65.7,1.6,8995
merc, SLK,2001,Automatic,91000,Petrol,325.0,30.0,2.3,3950
hyundi, Santa Fe,2019,Automatic,14778,Diesel,145.0,39.8,2.2,28995
bmw, M4,2019,Automatic,2460,Petrol,145.0,34.0,3.0,46000
hyundi, I40,2018,Manual,17755,Diesel,145.0,67.3,1.7,11985
bmw, X4,2019,Semi-Auto,5656,Diesel,150.0,42.8,2.0,34990
bmw, X4,2019,Semi-Auto,7272,Diesel,150.0,42.8,2.0,33998
toyota, Land Cruiser,2017,Semi-Auto,21000,Diesel,150.0,38.2,2.8,33870
vw, Scirocco,2015,Manual,49853,Diesel,20.0,55.4,2.0,11000
ford, Galaxy,2017,Manual,50446,Diesel,125.0,56.5,2.0,16990
merc, GL Class,2014,Automatic,34534,Petrol,200.0,42.8,2.0,15965
ford, Tourneo Custom,2016,Manual,22704,Diesel,200.0,44.8,2.0,16700
hyundi, IX20,2017,Manual,15773,Petrol,145.0,50.4,1.4,9450
ford, Grand Tourneo Connect,2015,Manual,94000,Diesel,125.0,58.9,1.6,8995
merc, SLK,2000,Automatic,113237,Petrol,270.0,27.2,3.2,3990
bmw, 6 Series,2016,Automatic,32449,Diesel,160.0,51.4,3.0,18450
merc, S Class,2019,Automatic,4320,Diesel,145.0,52.3,3.0,52950
ford, Grand C-MAX,2017,Manual,22888,Petrol,30.0,54.3,1.0,10990
bmw, X4,2015,Automatic,44147,Diesel,200.0,47.9,3.0,20000
hyundi, IX35,2015,Manual,59238,Diesel,145.0,54.3,1.7,8250
hyundi, I40,2017,Manual,17393,Diesel,145.0,65.7,1.7,11485
hyundi, IX35,2015,Manual,59817,Diesel,145.0,54.3,1.7,7885
ford, Grand Tourneo Connect,2015,Manual,115613,Diesel,125.0,58.9,1.6,6499
vauxhall, GTC,2016,Manual,40646,Petrol,160.0,47.1,1.4,8998
toyota, Prius,2013,Automatic,56077,Hybrid,10.0,64.2,1.8,16500
ford, Grand C-MAX,2019,Manual,15097,Diesel,145.0,56.5,1.5,16750
bmw, Z4,2016,Semi-Auto,16761,Petrol,200.0,41.5,2.0,17732
merc, SLK,2015,Manual,47003,Petrol,205.0,41.5,1.8,13400
audi, A7,2019,Semi-Auto,6000,Diesel,145.0,48.7,2.0,33000
bmw, 6 Series,2015,Semi-Auto,26797,Diesel,160.0,49.6,3.0,23552
audi, A8,2019,Automatic,5000,Petrol,145.0,37.7,3.0,42989
ford, Puma,2020,Manual,2396,Petrol,145.0,49.6,1.0,25000
vw, Amarok,2019,Automatic,3412,Diesel,260.0,27.7,3.0,39999
toyota, Hilux,2019,Automatic,18645,Diesel,260.0,36.2,2.4,31198
ford, Grand C-MAX,2016,Automatic,13642,Diesel,30.0,58.9,1.5,10500
merc, GL Class,2015,Automatic,51081,Diesel,325.0,36.2,3.0,28975
vw, Arteon,2018,Semi-Auto,20810,Petrol,145.0,47.1,2.0,19998
bmw, X4,2017,Semi-Auto,37114,Diesel,200.0,47.9,3.0,26191
vw, Beetle,2014,Manual,33391,Diesel,30.0,65.7,1.6,7930
ford, KA,2011,Manual,64304,Petrol,30.0,57.7,1.2,3000
bmw, 6 Series,2014,Automatic,29178,Diesel,160.0,50.4,3.0,16999
audi, RS6,2017,Automatic,17283,Petrol,150.0,29.4,4.0,59900
vauxhall, GTC,2016,Manual,26342,Petrol,160.0,47.1,1.4,7190
vauxhall, Vivaro,2016,Manual,13000,Diesel,160.0,49.6,1.6,13988
skoda, Yeti,2017,Semi-Auto,11000,Petrol,125.0,51.4,1.2,14499
merc, V Class,2019,Manual,20578,Diesel,145.0,46.3,2.1,17699
audi, A8,2006,Automatic,104000,Diesel,325.0,33.6,3.0,5595
ford, Tourneo Custom,2017,Manual,41269,Diesel,145.0,44.8,2.0,17998
vw, Amarok,2019,Automatic,7500,Diesel,265.0,28.3,3.0,37495
vw, Arteon,2019,Semi-Auto,3000,Petrol,145.0,40.4,1.5,27995
toyota, Hilux,2018,Automatic,12276,Diesel,265.0,36.2,2.4,21998
merc, S Class,2019,Semi-Auto,3380,Diesel,145.0,52.3,3.0,55890
hyundi, Santa Fe,2019,Semi-Auto,7119,Diesel,145.0,39.2,2.2,32995
ford, Edge,2016,Manual,28043,Diesel,160.0,48.7,2.0,18990
vauxhall, GTC,2017,Manual,67928,Diesel,150.0,65.7,1.6,7298
hyundi, I800,2018,Manual,31312,Diesel,145.0,31.7,0.0,15500
vw, Tiguan Allspace,2019,Manual,4487,Diesel,145.0,46.3,2.0,24500
bmw, X7,2019,Semi-Auto,3003,Diesel,145.0,33.6,3.0,64400
bmw, Z4,2014,Manual,31000,Petrol,200.0,41.5,2.0,12490
toyota, Camry,2019,Automatic,10732,Hybrid,135.0,52.3,2.5,25990
bmw, X4,2017,Automatic,68689,Diesel,145.0,54.3,2.0,18999
toyota, PROACE VERSO,2019,Manual,10,Diesel,145.0,40.4,2.0,25200
ford, Grand Tourneo Connect,2018,Manual,25546,Diesel,145.0,61.4,1.5,12298
ford, Grand C-MAX,2017,Manual,38967,Petrol,30.0,54.3,1.0,10500
merc, S Class,2019,Semi-Auto,1000,Diesel,145.0,52.3,3.0,67109
audi, Q8,2019,Semi-Auto,5978,Diesel,150.0,30.7,4.0,83995
merc, CLA Class,2013,Automatic,66000,Diesel,30.0,62.8,2.1,14400
vauxhall, Combo Life,2019,Manual,4,Petrol,145.0,42.2,1.2,13495
toyota, Prius,2016,Automatic,10000,Hybrid,0.0,85.6,1.8,19500
toyota, Land Cruiser,2004,Automatic,160000,Diesel,325.0,31.4,3.0,5975
hyundi, IX20,2016,Automatic,4210,Petrol,165.0,43.5,1.6,9500
ford, Galaxy,2019,Semi-Auto,3802,Diesel,145.0,54.3,2.0,28500
ford, Edge,2019,Semi-Auto,1521,Diesel,145.0,37.2,2.0,32500
skoda, Yeti,2017,Automatic,12000,Petrol,145.0,51.4,1.2,12650
toyota, Prius,2015,Automatic,22447,Hybrid,0.0,68.9,1.8,19723
ford, Edge,2019,Semi-Auto,7999,Diesel,145.0,37.2,2.0,29999
skoda, Scala,2019,Semi-Auto,430,Petrol,145.0,47.1,1.0,16990
ford, Grand C-MAX,2017,Manual,32058,Diesel,30.0,64.2,1.5,10200
hyundi, Santa Fe,2016,Manual,32696,Diesel,200.0,46.3,2.2,15995
vw, Arteon,2017,Semi-Auto,30874,Petrol,145.0,47.1,2.0,18700
toyota, Prius,2016,Automatic,31182,Hybrid,0.0,85.6,1.8,17500
ford, Galaxy,2012,Manual,64237,Petrol,235.0,39.2,1.6,7985
vw, Amarok,2019,Automatic,5466,Diesel,265.0,33.6,3.0,35995
ford, Puma,2019,Manual,3068,Petrol,145.0,50.4,1.0,19990
hyundi, Santa Fe,2018,Semi-Auto,10500,Diesel,145.0,39.8,2.2,28490
vw, Arteon,2019,Manual,100,Diesel,145.0,52.3,2.0,23950
hyundi, IX20,2015,Automatic,21900,Petrol,165.0,43.5,1.6,9990
hyundi, Santa Fe,2017,Semi-Auto,16686,Diesel,235.0,42.8,2.2,20999
vw, Beetle,2014,Manual,30323,Diesel,150.0,55.4,2.0,12751
toyota, Verso,2017,Automatic,24972,Petrol,200.0,42.8,1.8,13495
skoda, Kamiq,2020,Manual,2500,Petrol,145.0,47.9,1.0,18299
vw, Scirocco,2016,Manual,32001,Diesel,20.0,55.4,2.0,14698
hyundi, IX35,2015,Manual,47049,Diesel,160.0,51.4,2.0,9398
skoda, Scala,2020,Automatic,100,Petrol,145.0,44.8,1.5,19480
bmw, i3,2016,Automatic,35446,Hybrid,0.0,470.8,0.0,16500
toyota, Land Cruiser,2017,Semi-Auto,34580,Diesel,305.0,38.2,2.8,36450
toyota, Verso,2016,Manual,44098,Diesel,30.0,62.8,1.6,9950
ford, Galaxy,2017,Manual,20999,Diesel,125.0,56.5,2.0,19995
vw, Caravelle,2019,Semi-Auto,5434,Diesel,145.0,33.6,2.0,42999
hyundi, IX35,2015,Manual,33910,Petrol,200.0,41.5,1.6,9891
audi, R8,2013,Manual,19834,Petrol,570.0,19.6,4.2,47995
toyota, Land Cruiser,2018,Automatic,15191,Diesel,150.0,38.2,2.8,41499
